
  Energy       1     3.2502298553E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99942002     2.94091774
    5   ->     7     0.03395117     5.65128062
    3   ->     7     0.00224524     7.89223853
    4   ->     8     0.00073817    17.39866102
    1   ->    12     0.00063153    43.78508693
    5   ->     9     0.00051736    19.29947988
    4   ->    12     0.00050838    33.59520222
    6   ->     9     0.00039160    16.58911701
    5   ->     8     0.00029347    16.07464402
    4   ->     7     0.00020362     6.97529761
    6   ->     8     0.00019297    13.36428115
    2   ->    12     0.00018728    37.27656432
    2   ->     7     0.00014690    10.65665971
    3   ->    10     0.00013934    23.68017627
    2   ->     8     0.00009870    21.08002312
    4   ->     9     0.00009628    20.62349688
    2   ->     9     0.00009465    24.30485898
    3   ->     9     0.00006813    21.54043780
    4   ->    11     0.00006060    23.65743188
    2   ->    11     0.00004312    27.33879398
    5   ->    10     0.00004250    21.43921835
    5   ->    12     0.00004059    32.27118523
    1   ->     7     0.00002811    17.16518233
    2   ->    10     0.00001637    26.44459745
    6   ->    10     0.00001559    18.72885548
    6   ->    12     0.00001068    29.56082235
    1   ->     9     0.00000801    30.81338159
    1   ->     8     0.00000652    27.58854573
    3   ->    12     0.00000640    34.51214314
    1   ->    11     0.00000629    33.84731659
    1   ->    10     0.00000599    32.95312006
    5   ->    11     0.00000361    22.33341488
    3   ->     8     0.00000179    18.31560194
    3   ->    11     0.00000129    24.57437280
    4   ->    10     0.00000026    22.76323535
    6   ->    11     0.00000020    19.62305201

  Energy       2     6.4156552060E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.97991005     5.65128062
    4   ->     7     0.19225611     6.97529761
    3   ->     7     0.05211523     7.89223853
    6   ->     7     0.00768574     2.94091774
    6   ->     8     0.00513983    13.36428115
    1   ->    12     0.00247934    43.78508693
    4   ->    12     0.00228176    33.59520222
    2   ->    12     0.00073184    37.27656432
    3   ->    10     0.00046052    23.68017627
    5   ->     8     0.00028525    16.07464402
    4   ->    11     0.00023752    23.65743188
    4   ->     9     0.00020476    20.62349688
    5   ->     9     0.00016748    19.29947988
    4   ->     8     0.00015554    17.39866102
    5   ->    12     0.00015289    32.27118523
    2   ->    11     0.00011720    27.33879398
    6   ->     9     0.00010689    16.58911701
    6   ->    10     0.00006956    18.72885548
    6   ->    12     0.00005954    29.56082235
    3   ->     9     0.00005209    21.54043780
    1   ->    11     0.00004964    33.84731659
    2   ->     8     0.00004842    21.08002312
    6   ->    11     0.00004250    19.62305201
    3   ->     8     0.00003570    18.31560194
    3   ->    12     0.00003122    34.51214314
    2   ->    10     0.00003075    26.44459745
    1   ->     7     0.00002650    17.16518233
    3   ->    11     0.00002502    24.57437280
    4   ->    10     0.00002265    22.76323535
    2   ->     7     0.00001636    10.65665971
    1   ->     8     0.00001468    27.58854573
    5   ->    10     0.00000940    21.43921835
    2   ->     9     0.00000578    24.30485898
    1   ->    10     0.00000449    32.95312006
    5   ->    11     0.00000001    22.33341488
    1   ->     9     0.00000001    30.81338159

  Energy       3     7.1981993966E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.99344564     6.97529761
    5   ->     7     0.09465262     5.65128062
    3   ->     7     0.06385297     7.89223853
    6   ->     8     0.00499360    13.36428115
    6   ->     9     0.00102133    16.58911701
    6   ->     7     0.00095958     2.94091774
    1   ->    12     0.00095168    43.78508693
    4   ->    12     0.00085448    33.59520222
    4   ->     9     0.00070458    20.62349688
    2   ->     9     0.00028199    24.30485898
    4   ->    11     0.00027292    23.65743188
    2   ->    12     0.00023833    37.27656432
    4   ->     8     0.00020284    17.39866102
    3   ->    10     0.00019120    23.68017627
    3   ->    11     0.00017834    24.57437280
    2   ->     8     0.00014615    21.08002312
    2   ->    11     0.00013859    27.33879398
    2   ->     7     0.00013416    10.65665971
    6   ->    10     0.00007057    18.72885548
    1   ->     8     0.00006284    27.58854573
    5   ->     9     0.00006130    19.29947988
    4   ->    10     0.00005817    22.76323535
    5   ->    12     0.00004660    32.27118523
    6   ->    12     0.00003575    29.56082235
    3   ->     9     0.00003044    21.54043780
    3   ->    12     0.00002145    34.51214314
    2   ->    10     0.00001344    26.44459745
    5   ->     8     0.00001117    16.07464402
    3   ->     8     0.00000654    18.31560194
    5   ->    11     0.00000256    22.33341488
    1   ->     9     0.00000225    30.81338159
    1   ->     7     0.00000110    17.16518233
    1   ->    10     0.00000068    32.95312006
    1   ->    11     0.00000044    33.84731659
    5   ->    10     0.00000001    21.43921835
    6   ->    11     0.00000001    19.62305201

  Energy       4     8.1840677600E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99889952     7.89223853
    5   ->     7     0.04228112     5.65128062
    4   ->     7     0.01956162     6.97529761
    6   ->     8     0.00467227    13.36428115
    4   ->    12     0.00156222    33.59520222
    1   ->    12     0.00148589    43.78508693
    6   ->     7     0.00141630     2.94091774
    2   ->    12     0.00054366    37.27656432
    2   ->     7     0.00044294    10.65665971
    3   ->     8     0.00034843    18.31560194
    5   ->     8     0.00031439    16.07464402
    6   ->    10     0.00030221    18.72885548
    5   ->     9     0.00020239    19.29947988
    1   ->    11     0.00015712    33.84731659
    4   ->     8     0.00011652    17.39866102
    5   ->    12     0.00010076    32.27118523
    3   ->    11     0.00006303    24.57437280
    4   ->    10     0.00006065    22.76323535
    2   ->    10     0.00004934    26.44459745
    6   ->    12     0.00004284    29.56082235
    4   ->    11     0.00003744    23.65743188
    1   ->    10     0.00003655    32.95312006
    4   ->     9     0.00003563    20.62349688
    3   ->    12     0.00003377    34.51214314
    1   ->     8     0.00002989    27.58854573
    3   ->     9     0.00002518    21.54043780
    6   ->    11     0.00002382    19.62305201
    1   ->     9     0.00001350    30.81338159
    2   ->     9     0.00000645    24.30485898
    2   ->     8     0.00000386    21.08002312
    6   ->     9     0.00000267    16.58911701
    3   ->    10     0.00000254    23.68017627
    5   ->    10     0.00000202    21.43921835
    1   ->     7     0.00000164    17.16518233
    2   ->    11     0.00000059    27.33879398
    5   ->    11     0.00000019    22.33341488

  Energy       5     1.0713488245E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999961    10.65665971
    6   ->     8     0.00053680    13.36428115
    6   ->     9     0.00040351    16.58911701
    4   ->     9     0.00031793    20.62349688
    5   ->     8     0.00028554    16.07464402
    3   ->     7     0.00023836     7.89223853
    5   ->     9     0.00015134    19.29947988
    4   ->     8     0.00013440    17.39866102
    2   ->     8     0.00012935    21.08002312
    3   ->    10     0.00011355    23.68017627
    3   ->    11     0.00009913    24.57437280
    2   ->    10     0.00008882    26.44459745
    3   ->     8     0.00006884    18.31560194
    1   ->     9     0.00003391    30.81338159
    6   ->    10     0.00003044    18.72885548
    1   ->    10     0.00002653    32.95312006
    2   ->     9     0.00002573    24.30485898
    6   ->    11     0.00002493    19.62305201
    4   ->     7     0.00001774     6.97529761
    6   ->     7     0.00001381     2.94091774
    5   ->     7     0.00001043     5.65128062
    4   ->    12     0.00001015    33.59520222
    1   ->    12     0.00000977    43.78508693
    3   ->     9     0.00000922    21.54043780
    2   ->    12     0.00000661    37.27656432
    5   ->    11     0.00000488    22.33341488
    3   ->    12     0.00000432    34.51214314
    4   ->    10     0.00000285    22.76323535
    1   ->    11     0.00000265    33.84731659
    1   ->     8     0.00000251    27.58854573
    1   ->     7     0.00000156    17.16518233
    5   ->    10     0.00000093    21.43921835
    5   ->    12     0.00000090    32.27118523
    6   ->    12     0.00000061    29.56082235
    2   ->    11     0.00000025    27.33879398
    4   ->    11     0.00000000    23.65743188

  Energy       6     1.3997050219E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99982296    13.36428115
    5   ->     8     0.01686296    16.07464402
    4   ->     9     0.00742520    20.62349688
    2   ->     9     0.00171665    24.30485898
    5   ->     7     0.00170281     5.65128062
    4   ->    12     0.00137489    33.59520222
    1   ->    12     0.00131117    43.78508693
    4   ->    10     0.00107444    22.76323535
    4   ->     8     0.00103877    17.39866102
    6   ->    10     0.00060937    18.72885548
    5   ->    10     0.00059003    21.43921835
    4   ->     7     0.00058910     6.97529761
    4   ->    11     0.00058787    23.65743188
    3   ->     7     0.00056812     7.89223853
    2   ->    10     0.00056250    26.44459745
    2   ->    12     0.00044740    37.27656432
    3   ->     8     0.00042544    18.31560194
    6   ->     9     0.00040838    16.58911701
    5   ->     9     0.00033368    19.29947988
    2   ->     7     0.00027895    10.65665971
    3   ->     9     0.00020974    21.54043780
    1   ->     9     0.00010302    30.81338159
    3   ->    10     0.00008649    23.68017627
    6   ->    12     0.00007722    29.56082235
    5   ->    12     0.00006299    32.27118523
    5   ->    11     0.00006093    22.33341488
    6   ->     7     0.00005924     2.94091774
    1   ->    11     0.00002398    33.84731659
    6   ->    11     0.00001909    19.62305201
    3   ->    12     0.00001155    34.51214314
    1   ->    10     0.00001117    32.95312006
    2   ->     8     0.00000509    21.08002312
    3   ->    11     0.00000390    24.57437280
