# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.10627551
    2      -0.15529756
    3       0.23719306
    4       0.29015289
    5       0.30000042
    6       0.22167568
