# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.03762208
    2      -0.10049252
    3       0.25415254
    4       0.27990245
    5       0.30021174
    6       0.22860372
