# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.23190799
    2      -0.14035659
    3       0.18559432
    4       0.26661140
    5       0.26827121
    6       0.18797168
