# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.05442351
    2      -0.11508881
    3       0.30008977
    4       0.29566946
    5       0.28763829
    6       0.28611480
