# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.17954926
    2      -0.16829655
    3       0.20748982
    4       0.29490970
    5       0.27225111
    6       0.21409666
