
  Energy       1     2.6061507490E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99369652     1.97080122
    4   ->     7     0.08911098     3.99660679
    5   ->     7     0.05864510     3.76422226
    4   ->     8     0.03175292    10.25149909
    6   ->     8     0.01287282     8.22569353
    5   ->     8     0.00264878    10.01911457
    1   ->     8     0.00230372    19.88283227
    2   ->     8     0.00082740    15.73512124
    3   ->     7     0.00037402     5.24686019
    3   ->    11     0.00022218    21.13364276
    3   ->     8     0.00015778    11.50175250
    2   ->     7     0.00010600     9.48022894
    1   ->    12     0.00007262    34.18892785
    5   ->    10     0.00005655    18.99983122
    6   ->    12     0.00005184    22.53178910
    1   ->     7     0.00004888    13.62793997
    1   ->     9     0.00004057    28.19967096
    6   ->    10     0.00004039    17.20641018
    6   ->     9     0.00003053    16.54253221
    3   ->     9     0.00003012    19.81859118
    5   ->    11     0.00002113    19.65100483
    4   ->    10     0.00002064    19.23221574
    2   ->    10     0.00001805    24.71583789
    2   ->    11     0.00001582    25.36701150
    4   ->    12     0.00001341    24.55759466
    1   ->    11     0.00001336    29.51472253
    4   ->    11     0.00001106    19.88338935
    5   ->     9     0.00001035    18.33595325
    3   ->    10     0.00000706    20.48246915
    1   ->    10     0.00000683    28.86354892
    5   ->    12     0.00000491    24.32521014
    6   ->    11     0.00000366    17.85758378
    2   ->     9     0.00000348    24.05195993
    4   ->     9     0.00000301    18.56833778
    2   ->    12     0.00000186    30.04121682
    3   ->    12     0.00000010    25.80784807

  Energy       2     3.8848717127E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.97480105     3.76422226
    4   ->     7     0.22304872     3.99660679
    6   ->     7     0.00286102     1.97080122
    4   ->     8     0.00154495    10.25149909
    6   ->     8     0.00087903     8.22569353
    5   ->    10     0.00074198    18.99983122
    2   ->    11     0.00025706    25.36701150
    4   ->     9     0.00025409    18.56833778
    3   ->    10     0.00025296    20.48246915
    5   ->     8     0.00020077    10.01911457
    1   ->     8     0.00013532    19.88283227
    2   ->     9     0.00008646    24.05195993
    3   ->    12     0.00007466    25.80784807
    1   ->     9     0.00007090    28.19967096
    4   ->    10     0.00005701    19.23221574
    2   ->     8     0.00005109    15.73512124
    5   ->    12     0.00004813    24.32521014
    4   ->    11     0.00004264    19.88338935
    3   ->     8     0.00004190    11.50175250
    6   ->    10     0.00002875    17.20641018
    3   ->     9     0.00001284    19.81859118
    6   ->    12     0.00001211    22.53178910
    1   ->    12     0.00000938    34.18892785
    2   ->    12     0.00000751    30.04121682
    6   ->    11     0.00000648    17.85758378
    2   ->     7     0.00000643     9.48022894
    3   ->     7     0.00000570     5.24686019
    5   ->    11     0.00000491    19.65100483
    6   ->     9     0.00000384    16.54253221
    2   ->    10     0.00000330    24.71583789
    4   ->    12     0.00000268    24.55759466
    5   ->     9     0.00000166    18.33595325
    1   ->    10     0.00000146    28.86354892
    1   ->     7     0.00000057    13.62793997
    1   ->    11     0.00000012    29.51472253
    3   ->    11     0.00000003    21.13364276

  Energy       3     4.3237126645E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.98246311     3.99660679
    5   ->     7     0.17800008     3.76422226
    4   ->     8     0.03819861    10.25149909
    6   ->     7     0.03545107     1.97080122
    6   ->     8     0.01861886     8.22569353
    5   ->     8     0.00315399    10.01911457
    1   ->     8     0.00231653    19.88283227
    3   ->     7     0.00189602     5.24686019
    2   ->     8     0.00080633    15.73512124
    3   ->     8     0.00021434    11.50175250
    5   ->    11     0.00007872    19.65100483
    6   ->    10     0.00006686    17.20641018
    3   ->    11     0.00005519    21.13364276
    2   ->     7     0.00005435     9.48022894
    4   ->    10     0.00005000    19.23221574
    6   ->    12     0.00004842    22.53178910
    1   ->    12     0.00004703    34.18892785
    5   ->     9     0.00003855    18.33595325
    4   ->    11     0.00002994    19.88338935
    1   ->     7     0.00002804    13.62793997
    6   ->     9     0.00002739    16.54253221
    3   ->     9     0.00002364    19.81859118
    2   ->    10     0.00001917    24.71583789
    4   ->    12     0.00001705    24.55759466
    5   ->    10     0.00001089    18.99983122
    1   ->     9     0.00000819    28.19967096
    3   ->    10     0.00000797    20.48246915
    4   ->     9     0.00000572    18.56833778
    3   ->    12     0.00000489    25.80784807
    1   ->    11     0.00000357    29.51472253
    2   ->    12     0.00000264    30.04121682
    2   ->     9     0.00000222    24.05195993
    5   ->    12     0.00000169    24.32521014
    6   ->    11     0.00000010    17.85758378
    2   ->    11     0.00000004    25.36701150
    1   ->    10     0.00000000    28.86354892

  Energy       4     5.2791577389E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99999974     5.24686019
    4   ->     7     0.00055271     3.99660679
    4   ->     8     0.00035771    10.25149909
    6   ->     8     0.00022038     8.22569353
    5   ->    10     0.00011961    18.99983122
    6   ->     7     0.00011169     1.97080122
    3   ->    12     0.00007325    25.80784807
    2   ->     9     0.00005563    24.05195993
    5   ->     7     0.00005360     3.76422226
    4   ->    11     0.00003923    19.88338935
    1   ->    11     0.00003160    29.51472253
    5   ->    11     0.00002617    19.65100483
    3   ->    10     0.00002586    20.48246915
    1   ->     8     0.00002415    19.88283227
    5   ->     9     0.00001754    18.33595325
    1   ->     9     0.00001583    28.19967096
    5   ->    12     0.00001424    24.32521014
    3   ->     9     0.00001369    19.81859118
    4   ->    10     0.00001107    19.23221574
    2   ->    10     0.00000763    24.71583789
    2   ->     7     0.00000754     9.48022894
    3   ->    11     0.00000748    21.13364276
    3   ->     8     0.00000711    11.50175250
    6   ->     9     0.00000689    16.54253221
    5   ->     8     0.00000594    10.01911457
    2   ->    11     0.00000534    25.36701150
    2   ->     8     0.00000358    15.73512124
    6   ->    11     0.00000317    17.85758378
    6   ->    10     0.00000187    17.20641018
    6   ->    12     0.00000169    22.53178910
    1   ->    12     0.00000134    34.18892785
    4   ->    12     0.00000112    24.55759466
    4   ->     9     0.00000061    18.56833778
    1   ->    10     0.00000009    28.86354892
    1   ->     7     0.00000007    13.62793997
    2   ->    12     0.00000001    30.04121682

  Energy       5     8.4470953665E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99711215     8.22569353
    4   ->     8     0.07552945    10.25149909
    5   ->     8     0.00777123    10.01911457
    1   ->     8     0.00095604    19.88283227
    4   ->     7     0.00067982     3.99660679
    6   ->     7     0.00051913     1.97080122
    2   ->     7     0.00051703     9.48022894
    2   ->     8     0.00043275    15.73512124
    5   ->     7     0.00033918     3.76422226
    3   ->     8     0.00023540    11.50175250
    3   ->    11     0.00004820    21.13364276
    6   ->    10     0.00002774    17.20641018
    1   ->     7     0.00002536    13.62793997
    3   ->     7     0.00002454     5.24686019
    6   ->    12     0.00002151    22.53178910
    1   ->    12     0.00002134    34.18892785
    4   ->     9     0.00001660    18.56833778
    6   ->     9     0.00000873    16.54253221
    5   ->    11     0.00000657    19.65100483
    3   ->    12     0.00000475    25.80784807
    4   ->    10     0.00000434    19.23221574
    3   ->     9     0.00000391    19.81859118
    4   ->    12     0.00000363    24.55759466
    3   ->    10     0.00000290    20.48246915
    4   ->    11     0.00000287    19.88338935
    5   ->    10     0.00000183    18.99983122
    1   ->     9     0.00000151    28.19967096
    1   ->    11     0.00000141    29.51472253
    2   ->    12     0.00000124    30.04121682
    2   ->    11     0.00000090    25.36701150
    2   ->    10     0.00000071    24.71583789
    1   ->    10     0.00000070    28.86354892
    5   ->    12     0.00000059    24.32521014
    5   ->     9     0.00000020    18.33595325
    6   ->    11     0.00000003    17.85758378
    2   ->     9     0.00000000    24.05195993

  Energy       6     9.5119314719E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999945     9.48022894
    4   ->     8     0.00094647    10.25149909
    5   ->    11     0.00025771    19.65100483
    5   ->     8     0.00020862    10.01911457
    3   ->     9     0.00019287    19.81859118
    2   ->    10     0.00014203    24.71583789
    6   ->     8     0.00013559     8.22569353
    4   ->    10     0.00006621    19.23221574
    4   ->     9     0.00003979    18.56833778
    5   ->    10     0.00003947    18.99983122
    5   ->     9     0.00003584    18.33595325
    3   ->     8     0.00002661    11.50175250
    4   ->    11     0.00002412    19.88338935
    1   ->    12     0.00001751    34.18892785
    4   ->    12     0.00001432    24.55759466
    3   ->    10     0.00001419    20.48246915
    1   ->    10     0.00001336    28.86354892
    2   ->    12     0.00001271    30.04121682
    1   ->     8     0.00000975    19.88283227
    6   ->    12     0.00000698    22.53178910
    2   ->     8     0.00000619    15.73512124
    6   ->     9     0.00000248    16.54253221
    2   ->     9     0.00000220    24.05195993
    2   ->    11     0.00000212    25.36701150
    6   ->    11     0.00000203    17.85758378
    1   ->     9     0.00000196    28.19967096
    6   ->     7     0.00000195     1.97080122
    1   ->    11     0.00000150    29.51472253
    3   ->     7     0.00000145     5.24686019
    3   ->    12     0.00000138    25.80784807
    6   ->    10     0.00000061    17.20641018
    3   ->    11     0.00000055    21.13364276
    5   ->     7     0.00000046     3.76422226
