# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.06031281
    2      -0.10440001
    3       0.28365628
    4       0.29618064
    5       0.28908360
    6       0.29579230
