# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.07212459
    2      -0.13351216
    3       0.30663214
    4       0.29447999
    5       0.29127535
    6       0.31324926
