
  Energy       1     2.7695488784E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99725745     2.07218764
    5   ->     7     0.07042619     4.71293698
    4   ->     8     0.01715034    15.67078081
    3   ->     7     0.01132469     6.08647588
    4   ->     7     0.00906336     5.46129460
    1   ->     8     0.00331712    25.10832030
    2   ->     8     0.00107860    20.20985447
    6   ->     8     0.00059964    12.28167386
    6   ->     9     0.00059435    16.01478821
    3   ->    11     0.00034287    21.70736769
    5   ->     8     0.00032154    14.92242320
    6   ->    10     0.00016166    16.81377754
    4   ->    10     0.00013778    20.20288449
    1   ->    10     0.00012563    29.64042398
    1   ->    12     0.00010364    33.55747988
    5   ->     9     0.00006686    18.65553755
    3   ->    10     0.00005353    20.82806578
    5   ->    10     0.00005191    19.45452688
    1   ->     9     0.00005022    28.84143465
    3   ->     8     0.00004971    16.29596210
    2   ->    10     0.00003989    24.74195815
    2   ->     9     0.00003621    23.94296882
    1   ->     7     0.00002704    14.89883409
    2   ->    11     0.00002516    25.62126006
    6   ->    12     0.00002270    20.73083344
    6   ->    11     0.00002162    17.69307945
    5   ->    11     0.00001993    20.33382879
    2   ->     7     0.00001831    10.00036825
    1   ->    11     0.00001644    30.51972589
    5   ->    12     0.00001426    23.37158278
    4   ->     9     0.00000915    19.40389516
    2   ->    12     0.00000683    28.65901405
    4   ->    12     0.00000477    24.11994039
    4   ->    11     0.00000422    21.08218640
    3   ->     9     0.00000280    20.02907645
    3   ->    12     0.00000259    24.74512168

  Energy       2     4.9770461288E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99631231     4.71293698
    4   ->     7     0.08156827     5.46129460
    3   ->     7     0.02356912     6.08647588
    6   ->     7     0.00975573     2.07218764
    4   ->     8     0.00743875    15.67078081
    1   ->     8     0.00132009    25.10832030
    6   ->     9     0.00053006    16.01478821
    2   ->     8     0.00042646    20.20985447
    6   ->     8     0.00035837    12.28167386
    4   ->     9     0.00013304    19.40389516
    3   ->    11     0.00008741    21.70736769
    5   ->     8     0.00007242    14.92242320
    5   ->     9     0.00006100    18.65553755
    1   ->    10     0.00005246    29.64042398
    2   ->    10     0.00004601    24.74195815
    5   ->    10     0.00003834    19.45452688
    3   ->     8     0.00003574    16.29596210
    4   ->    10     0.00003167    20.20288449
    1   ->    12     0.00003027    33.55747988
    2   ->     9     0.00002850    23.94296882
    3   ->     9     0.00002314    20.02907645
    6   ->    11     0.00001084    17.69307945
    6   ->    12     0.00001075    20.73083344
    4   ->    12     0.00000758    24.11994039
    6   ->    10     0.00000722    16.81377754
    5   ->    11     0.00000627    20.33382879
    1   ->    11     0.00000538    30.51972589
    3   ->    12     0.00000532    24.74512168
    1   ->     7     0.00000497    14.89883409
    2   ->    12     0.00000431    28.65901405
    5   ->    12     0.00000320    23.37158278
    1   ->     9     0.00000150    28.84143465
    2   ->    11     0.00000128    25.62126006
    4   ->    11     0.00000026    21.08218640
    3   ->    10     0.00000016    20.82806578
    2   ->     7     0.00000002    10.00036825

  Energy       3     5.5593721642E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.99789106     5.46129460
    3   ->     7     0.04862914     6.08647588
    5   ->     7     0.04276451     4.71293698
    4   ->     8     0.00353165    15.67078081
    6   ->     7     0.00259659     2.07218764
    1   ->     8     0.00064058    25.10832030
    6   ->     9     0.00030367    16.01478821
    6   ->     8     0.00019528    12.28167386
    2   ->     8     0.00018137    20.20985447
    4   ->     9     0.00014254    19.40389516
    5   ->     9     0.00008334    18.65553755
    3   ->    12     0.00005453    24.74512168
    2   ->    10     0.00004911    24.74195815
    5   ->    10     0.00003928    19.45452688
    5   ->     8     0.00002940    14.92242320
    3   ->     8     0.00002189    16.29596210
    4   ->    10     0.00002068    20.20288449
    2   ->     9     0.00001977    23.94296882
    1   ->    12     0.00001662    33.55747988
    3   ->     9     0.00001530    20.02907645
    2   ->    11     0.00001469    25.62126006
    6   ->    12     0.00001386    20.73083344
    1   ->    10     0.00001279    29.64042398
    3   ->    11     0.00000869    21.70736769
    6   ->    11     0.00000719    17.69307945
    4   ->    11     0.00000454    21.08218640
    2   ->    12     0.00000417    28.65901405
    4   ->    12     0.00000414    24.11994039
    1   ->     9     0.00000250    28.84143465
    1   ->    11     0.00000146    30.51972589
    3   ->    10     0.00000088    20.82806578
    5   ->    11     0.00000085    20.33382879
    2   ->     7     0.00000081    10.00036825
    5   ->    12     0.00000077    23.37158278
    6   ->    10     0.00000007    16.81377754
    1   ->     7     0.00000000    14.89883409

  Energy       4     6.2763628084E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99948249     6.08647588
    4   ->     7     0.02374972     5.46129460
    5   ->     7     0.02001690     4.71293698
    4   ->     8     0.00757934    15.67078081
    6   ->     7     0.00318230     2.07218764
    1   ->     8     0.00139408    25.10832030
    2   ->     8     0.00044143    20.20985447
    6   ->     8     0.00036400    12.28167386
    6   ->     9     0.00031154    16.01478821
    4   ->    10     0.00015869    20.20288449
    5   ->     8     0.00014393    14.92242320
    2   ->     7     0.00009123    10.00036825
    4   ->    12     0.00008038    24.11994039
    3   ->     8     0.00007667    16.29596210
    4   ->    11     0.00007576    21.08218640
    3   ->     9     0.00006823    20.02907645
    6   ->    10     0.00005932    16.81377754
    3   ->    12     0.00004809    24.74512168
    4   ->     9     0.00004438    19.40389516
    5   ->    11     0.00003568    20.33382879
    3   ->    11     0.00003090    21.70736769
    2   ->     9     0.00002516    23.94296882
    1   ->    11     0.00002512    30.51972589
    2   ->    11     0.00002381    25.62126006
    3   ->    10     0.00002170    20.82806578
    2   ->    12     0.00001641    28.65901405
    2   ->    10     0.00001538    24.74195815
    1   ->    10     0.00001382    29.64042398
    5   ->    10     0.00001250    19.45452688
    5   ->     9     0.00000564    18.65553755
    6   ->    12     0.00000405    20.73083344
    1   ->    12     0.00000160    33.55747988
    1   ->     9     0.00000109    28.84143465
    5   ->    12     0.00000036    23.37158278
    1   ->     7     0.00000027    14.89883409
    6   ->    11     0.00000014    17.69307945

  Energy       5     1.0017372057E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999999    10.00036825
    5   ->     9     0.00009114    18.65553755
    2   ->     9     0.00005933    23.94296882
    3   ->     9     0.00004665    20.02907645
    5   ->    10     0.00004016    19.45452688
    3   ->    11     0.00003855    21.70736769
    4   ->    10     0.00003565    20.20288449
    4   ->    11     0.00003405    21.08218640
    3   ->    12     0.00003170    24.74512168
    6   ->     9     0.00002850    16.01478821
    3   ->     7     0.00002551     6.08647588
    5   ->    11     0.00002526    20.33382879
    1   ->    11     0.00001740    30.51972589
    6   ->    10     0.00001289    16.81377754
    4   ->     9     0.00001258    19.40389516
    4   ->     8     0.00001201    15.67078081
    5   ->     8     0.00000909    14.92242320
    1   ->     8     0.00000739    25.10832030
    1   ->    10     0.00000532    29.64042398
    2   ->    11     0.00000482    25.62126006
    4   ->    12     0.00000383    24.11994039
    1   ->     7     0.00000373    14.89883409
    2   ->    10     0.00000296    24.74195815
    2   ->    12     0.00000262    28.65901405
    6   ->    11     0.00000242    17.69307945
    1   ->    12     0.00000204    33.55747988
    2   ->     8     0.00000184    20.20985447
    3   ->     8     0.00000181    16.29596210
    5   ->    12     0.00000173    23.37158278
    4   ->     7     0.00000135     5.46129460
    6   ->     7     0.00000124     2.07218764
    3   ->    10     0.00000078    20.82806578
    5   ->     7     0.00000045     4.71293698
    6   ->    12     0.00000035    20.73083344
    6   ->     8     0.00000010    12.28167386
    1   ->     9     0.00000003    28.84143465

  Energy       6     1.2319320700E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99999496    12.28167386
    4   ->     8     0.00314901    15.67078081
    5   ->    10     0.00022944    19.45452688
    1   ->     8     0.00020511    25.10832030
    6   ->     9     0.00020294    16.01478821
    2   ->     8     0.00012824    20.20985447
    4   ->     9     0.00008942    19.40389516
    4   ->    10     0.00006969    20.20288449
    5   ->     7     0.00003681     4.71293698
    6   ->    10     0.00003503    16.81377754
    3   ->     8     0.00002675    16.29596210
    5   ->    11     0.00002639    20.33382879
    3   ->    11     0.00002608    21.70736769
    2   ->    11     0.00002473    25.62126006
    3   ->     7     0.00002334     6.08647588
    2   ->     9     0.00001995    23.94296882
    6   ->     7     0.00001631     2.07218764
    3   ->    12     0.00001455    24.74512168
    4   ->     7     0.00001377     5.46129460
    4   ->    11     0.00001013    21.08218640
    3   ->     9     0.00000784    20.02907645
    5   ->     9     0.00000704    18.65553755
    2   ->    12     0.00000604    28.65901405
    1   ->    12     0.00000572    33.55747988
    5   ->     8     0.00000455    14.92242320
    3   ->    10     0.00000442    20.82806578
    2   ->    10     0.00000329    24.74195815
    6   ->    12     0.00000295    20.73083344
    4   ->    12     0.00000165    24.11994039
    5   ->    12     0.00000145    23.37158278
    6   ->    11     0.00000135    17.69307945
    1   ->    11     0.00000091    30.51972589
    1   ->     9     0.00000088    28.84143465
