# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.21584395
    2      -0.09462507
    3       0.17983317
    4       0.24794804
    5       0.25569663
    6       0.19530328
