# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.02520129
    2      -0.07304882
    3       0.27254913
    4       0.28760279
    5       0.29241525
    6       0.24568293
