# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.01657196
    2      -0.09259742
    3       0.23885368
    4       0.30074275
    5       0.27758949
    6       0.25883954
