# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.05371109
    2      -0.10799183
    3       0.28795181
    4       0.29568639
    5       0.28879404
    6       0.28927069
