# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.00426391
    2      -0.06947304
    3       0.24685812
    4       0.29745476
    5       0.28029739
    6       0.24912667
