# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.00717212
    2      -0.08931461
    3       0.25331934
    4       0.29043508
    5       0.29122529
    6       0.26150703
