
  Energy       1     2.7021747274E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->    11     0.00004376    21.20529601
    6   ->     9     0.00003564    16.04377691
    3   ->     9     0.00002675    20.07745844
    4   ->     9     0.00001975    19.45702919
    3   ->    11     0.00001927    21.82572526
    1   ->    11     0.00001913    30.64759585
    5   ->    11     0.00001784    20.54602008
    3   ->     7     0.00001709     6.04636241
    5   ->     8     0.00001292    14.99177585
    4   ->    12     0.00000661    23.72720538
    2   ->    10     0.00000641    24.21346400
    5   ->    12     0.00000544    23.06792944
    1   ->     7     0.00000522    14.86823300
    2   ->    12     0.00000505    28.29556023
    1   ->    12     0.00000441    33.16950522
    5   ->    10     0.00000436    18.98583321
    4   ->     8     0.00000436    15.65105179
    1   ->     8     0.00000363    25.09335163
    4   ->    10     0.00000275    19.64510915
    1   ->    10     0.00000182    29.08740899
    3   ->    10     0.00000156    20.26553839
    6   ->    11     0.00000147    17.79204373
    2   ->    11     0.00000138    25.77365086
    6   ->     8     0.00000120    12.23779951
    4   ->     7     0.00000112     5.42593316
    6   ->    10     0.00000099    16.23185686
    6   ->    12     0.00000091    20.31395310
    2   ->     8     0.00000061    20.21940664
    6   ->     7     0.00000053     2.01268088
    5   ->     7     0.00000031     4.76665723
    3   ->     8     0.00000012    16.27148104
    1   ->     9     0.00000000    28.89932903

  Energy       6     1.2270965395E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99999637    12.23779951
    4   ->     8     0.00266198    15.65105179
    6   ->     9     0.00022874    16.04377691
    5   ->    10     0.00019826    18.98583321
    1   ->     8     0.00016852    25.09335163
    5   ->     9     0.00013619    18.79775326
    4   ->    10     0.00011190    19.64510915
    2   ->     8     0.00009899    20.21940664
    5   ->     7     0.00002871     4.76665723
    2   ->    11     0.00002605    25.77365086
    3   ->     9     0.00002262    20.07745844
    3   ->    11     0.00002261    21.82572526
    3   ->     7     0.00002200     6.04636241
    2   ->    10     0.00001955    24.21346400
    4   ->     9     0.00001898    19.45702919
    3   ->     8     0.00001603    16.27148104
    6   ->     7     0.00001271     2.01268088
    4   ->     7     0.00001022     5.42593316
    2   ->     9     0.00001006    24.02538404
    3   ->    12     0.00000850    24.34763463
    4   ->    11     0.00000654    21.20529601
    1   ->    12     0.00000468    33.16950522
    5   ->    11     0.00000429    20.54602008
    6   ->    12     0.00000381    20.31395310
    2   ->    12     0.00000366    28.29556023
    1   ->     9     0.00000290    28.89932903
    3   ->    10     0.00000242    20.26553839
    4   ->    12     0.00000192    23.72720538
    6   ->    11     0.00000183    17.79204373
    5   ->     8     0.00000124    14.99177585
    5   ->    12     0.00000092    23.06792944
    2   ->     7     0.00000076     9.99428801
    1   ->    11     0.00000024    30.64759585
    1   ->    10     0.00000014    29.08740899
    6   ->    10     0.00000014    16.23185686
    1   ->     7     0.00000000    14.86823300

  Energy       7     1.4883398267E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    1   ->     7     0.99999967    14.86823300
    5   ->     8     0.00074259    14.99177585
    4   ->     8     0.00022703    15.65105179
    3   ->    12     0.00018344    24.34763463
    3   ->    11     0.00007365    21.82572526
    4   ->    11     0.00006028    21.20529601
    2   ->    11     0.00003976    25.77365086
    6   ->    10     0.00003670    16.23185686
    4   ->     9     0.00003604    19.45702919
    1   ->    11     0.00003249    30.64759585
    4   ->    10     0.00003213    19.64510915
    5   ->     9     0.00002721    18.79775326
    5   ->    12     0.00002461    23.06792944
    3   ->     8     0.00001606    16.27148104
    4   ->    12     0.00001385    23.72720538
    1   ->    10     0.00001049    29.08740899
    6   ->     9     0.00000967    16.04377691
    5   ->    11     0.00000876    20.54602008
    6   ->    12     0.00000729    20.31395310
    1   ->     9     0.00000668    28.89932903
    1   ->    12     0.00000648    33.16950522
    2   ->    10     0.00000514    24.21346400
    3   ->    10     0.00000432    20.26553839
    2   ->    12     0.00000378    28.29556023
    3   ->     9     0.00000286    20.07745844
    6   ->    11     0.00000243    17.79204373
    2   ->     8     0.00000242    20.21940664
    2   ->     7     0.00000237     9.99428801
    5   ->    10     0.00000122    18.98583321
    2   ->     9     0.00000109    24.02538404
    3   ->     7     0.00000076     6.04636241
    4   ->     7     0.00000039     5.42593316
    6   ->     8     0.00000016    12.23779951
    1   ->     8     0.00000016    25.09335163
    5   ->     7     0.00000003     4.76665723
    6   ->     7     0.00000001     2.01268088

  Energy       8     1.5056455729E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     8     0.99986591    14.99177585
    4   ->     8     0.01560344    15.65105179
    6   ->    10     0.00362341    16.23185686
    6   ->     9     0.00219368    16.04377691
    5   ->    10     0.00207130    18.98583321
    5   ->     9     0.00134818    18.79775326
    1   ->     7     0.00059807    14.86823300
    4   ->    10     0.00035065    19.64510915
    2   ->    10     0.00028838    24.21346400
    4   ->    11     0.00011769    21.20529601
    3   ->     9     0.00011651    20.07745844
    3   ->     8     0.00011547    16.27148104
    4   ->     9     0.00011237    19.45702919
    2   ->    11     0.00010322    25.77365086
    5   ->    11     0.00006720    20.54602008
    3   ->    10     0.00006457    20.26553839
    2   ->     9     0.00003065    24.02538404
    1   ->    10     0.00002427    29.08740899
    6   ->    11     0.00001977    17.79204373
    6   ->     8     0.00001960    12.23779951
    1   ->     8     0.00001677    25.09335163
    2   ->    12     0.00000860    28.29556023
    3   ->    11     0.00000403    21.82572526
    1   ->    11     0.00000363    30.64759585
    5   ->    12     0.00000349    23.06792944
    3   ->    12     0.00000337    24.34763463
    2   ->     7     0.00000277     9.99428801
    2   ->     8     0.00000271    20.21940664
    1   ->     9     0.00000237    28.89932903
    3   ->     7     0.00000178     6.04636241
    6   ->    12     0.00000119    20.31395310
    6   ->     7     0.00000079     2.01268088
    5   ->     7     0.00000063     4.76665723
    4   ->    12     0.00000022    23.72720538
    1   ->    12     0.00000006    33.16950522
    4   ->     7     0.00000001     5.42593316

