# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.23837577
    2      -0.13213094
    3       0.18798241
    4       0.25331939
    5       0.26471792
    6       0.18773544
