
     w [eV]       Osc.Str.         Transition         Weight      KS [eV]    Sym.

 ================================================================================

      2.439        0.01286457         6   ->     7        0.999       1.982      S
      5.087        0.02281302         5   ->     7        0.996       4.820      S
      5.860        0.01311498         4   ->     7        0.971       5.738      S
      6.481        0.10923538         3   ->     7        0.983       6.076      S
      9.902        0.00564992         2   ->     7        1.000       9.870      S
     14.360        0.04244789         6   ->     8        1.000      14.274      S
     15.273        0.00698580         1   ->     7        1.000      15.248      S
     16.547        0.08173026         6   ->     9        1.000      16.304      S
