# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.19451647
    2      -0.18831975
    3       0.21211678
    4       0.27582979
    5       0.30217035
    6       0.20368636
