# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.02113027
    2      -0.07349671
    3       0.24461209
    4       0.29644057
    5       0.28216996
    6       0.27140435
