# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.07029883
    2      -0.14040232
    3       0.31488858
    4       0.29381421
    5       0.29004750
    6       0.31195086
