# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.21944693
    2      -0.14286454
    3       0.19981211
    4       0.25731601
    5       0.27615796
    6       0.19013153
