# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.00963187
    2      -0.09982116
    3       0.27372762
    4       0.28926239
    5       0.29572793
    6       0.25073509
