# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.17257417
    2      -0.16918443
    3       0.21856282
    4       0.27330123
    5       0.30090467
    6       0.20384153
