
  Energy       1     2.5576386487E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99930390     2.14137577
    5   ->     7     0.03556823     4.93373232
    3   ->     7     0.00946482     6.40439107
    4   ->     7     0.00552155     6.04553796
    4   ->     8     0.00164630    17.80535112
    4   ->    11     0.00137619    22.85357602
    1   ->    12     0.00084001    36.17324891
    4   ->    12     0.00063281    26.53614799
    1   ->    11     0.00056836    32.49067693
    5   ->     9     0.00032518    19.33240124
    2   ->    11     0.00028983    26.73621904
    3   ->     9     0.00024034    20.80305999
    5   ->    10     0.00023150    20.35887253
    6   ->     8     0.00022279    13.90118892
    6   ->    11     0.00019815    18.94941382
    5   ->    12     0.00017504    25.42434235
    6   ->    12     0.00017477    22.63198580
    3   ->    10     0.00011436    21.82953129
    2   ->     9     0.00011082    24.32684991
    1   ->     8     0.00010473    27.44245203
    2   ->    12     0.00009604    30.41879102
    6   ->    10     0.00008498    17.56651598
    2   ->     7     0.00005370     9.92818099
    5   ->    11     0.00004581    21.74177037
    1   ->     7     0.00002701    15.68263888
    1   ->     9     0.00002466    30.08130780
    2   ->    10     0.00002091    25.35332121
    3   ->     8     0.00001132    18.16420423
    5   ->     8     0.00000886    16.69354547
    3   ->    12     0.00000655    26.89500110
    4   ->     9     0.00000223    20.44420688
    1   ->    10     0.00000045    31.10777910
    3   ->    11     0.00000024    23.21242913
    6   ->     9     0.00000013    16.54004469
    4   ->    10     0.00000001    21.47067818
    2   ->     8     0.00000000    21.68799415

  Energy       2     5.2854486493E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99523529     4.93373232
    4   ->     7     0.08457573     6.04553796
    3   ->     7     0.04827656     6.40439107
    6   ->     7     0.00440656     2.14137577
    4   ->    11     0.00128071    22.85357602
    4   ->    12     0.00073120    26.53614799
    1   ->    12     0.00060422    36.17324891
    1   ->    11     0.00046658    32.49067693
    6   ->     9     0.00043318    16.54004469
    6   ->     8     0.00041627    13.90118892
    4   ->     8     0.00040760    17.80535112
    4   ->     9     0.00024284    20.44420688
    1   ->     8     0.00022772    27.44245203
    2   ->     8     0.00021414    21.68799415
    2   ->    11     0.00021111    26.73621904
    3   ->    10     0.00020907    21.82953129
    6   ->    12     0.00019001    22.63198580
    6   ->    11     0.00017807    18.94941382
    5   ->    12     0.00011938    25.42434235
    5   ->    11     0.00004327    21.74177037
    6   ->    10     0.00004279    17.56651598
    2   ->    12     0.00004154    30.41879102
    5   ->     8     0.00003458    16.69354547
    3   ->     9     0.00003312    20.80305999
    5   ->    10     0.00002453    20.35887253
    5   ->     9     0.00001616    19.33240124
    2   ->     9     0.00001615    24.32684991
    3   ->     8     0.00001092    18.16420423
    1   ->     7     0.00000435    15.68263888
    2   ->    10     0.00000428    25.35332121
    1   ->     9     0.00000210    30.08130780
    4   ->    10     0.00000210    21.47067818
    3   ->    11     0.00000188    23.21242913
    1   ->    10     0.00000029    31.10777910
    2   ->     7     0.00000017     9.92818099
    3   ->    12     0.00000016    26.89500110

  Energy       3     6.1778116690E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.97442121     6.04553796
    3   ->     7     0.22359131     6.40439107
    5   ->     7     0.02256394     4.93373232
    4   ->    11     0.00051788    22.85357602
    6   ->     7     0.00051352     2.14137577
    6   ->     9     0.00046527    16.54004469
    6   ->     8     0.00031311    13.90118892
    4   ->     9     0.00024130    20.44420688
    1   ->    12     0.00021783    36.17324891
    4   ->    12     0.00017617    26.53614799
    5   ->     9     0.00013460    19.33240124
    5   ->     8     0.00012726    16.69354547
    2   ->    11     0.00011502    26.73621904
    3   ->    10     0.00011341    21.82953129
    1   ->     8     0.00011323    27.44245203
    6   ->    12     0.00010645    22.63198580
    2   ->     9     0.00010456    24.32684991
    3   ->     8     0.00008613    18.16420423
    1   ->    11     0.00007907    32.49067693
    2   ->     8     0.00006605    21.68799415
    4   ->    10     0.00004841    21.47067818
    2   ->     7     0.00003589     9.92818099
    4   ->     8     0.00002993    17.80535112
    3   ->    11     0.00002724    23.21242913
    6   ->    11     0.00002608    18.94941382
    2   ->    10     0.00002470    25.35332121
    5   ->    11     0.00001805    21.74177037
    6   ->    10     0.00001466    17.56651598
    5   ->    12     0.00001340    25.42434235
    3   ->     9     0.00001044    20.80305999
    5   ->    10     0.00000692    20.35887253
    1   ->    10     0.00000610    31.10777910
    3   ->    12     0.00000184    26.89500110
    2   ->    12     0.00000093    30.41879102
    1   ->     9     0.00000035    30.08130780
    1   ->     7     0.00000002    15.68263888

  Energy       4     6.8587383626E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.98550138     6.40439107
    4   ->     7     0.15734453     6.04553796
    5   ->     7     0.06314016     4.93373232
    6   ->     7     0.00389152     2.14137577
    4   ->    11     0.00291872    22.85357602
    4   ->    12     0.00264545    26.53614799
    4   ->     8     0.00197820    17.80535112
    1   ->    11     0.00180492    32.49067693
    6   ->     8     0.00128373    13.90118892
    1   ->    12     0.00105829    36.17324891
    2   ->     7     0.00074950     9.92818099
    1   ->     8     0.00074036    27.44245203
    6   ->    11     0.00055957    18.94941382
    6   ->    12     0.00054443    22.63198580
    2   ->    12     0.00046672    30.41879102
    2   ->    11     0.00037192    26.73621904
    5   ->     9     0.00029375    19.33240124
    6   ->     9     0.00026229    16.54004469
    5   ->    12     0.00022463    25.42434235
    1   ->     9     0.00018349    30.08130780
    5   ->    11     0.00018061    21.74177037
    3   ->     8     0.00017614    18.16420423
    3   ->    12     0.00016815    26.89500110
    5   ->     8     0.00015167    16.69354547
    2   ->     8     0.00007155    21.68799415
    3   ->    11     0.00005768    23.21242913
    1   ->    10     0.00005090    31.10777910
    4   ->    10     0.00005002    21.47067818
    4   ->     9     0.00004723    20.44420688
    3   ->    10     0.00001793    21.82953129
    3   ->     9     0.00001150    20.80305999
    2   ->     9     0.00000935    24.32684991
    1   ->     7     0.00000729    15.68263888
    2   ->    10     0.00000626    25.35332121
    6   ->    10     0.00000615    17.56651598
    5   ->    10     0.00000005    20.35887253

  Energy       5     9.9711161356E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999989     9.92818099
    5   ->     9     0.00022544    19.33240124
    3   ->     7     0.00022538     6.40439107
    4   ->     9     0.00018803    20.44420688
    6   ->     9     0.00014491    16.54004469
    3   ->     8     0.00013771    18.16420423
    6   ->     8     0.00011931    13.90118892
    5   ->     8     0.00009448    16.69354547
    2   ->    10     0.00007610    25.35332121
    3   ->    12     0.00006912    26.89500110
    1   ->     9     0.00005078    30.08130780
    3   ->    10     0.00004607    21.82953129
    4   ->    12     0.00003133    26.53614799
    2   ->     8     0.00003045    21.68799415
    2   ->    12     0.00002458    30.41879102
    3   ->     9     0.00002118    20.80305999
    3   ->    11     0.00002072    23.21242913
    4   ->     8     0.00002053    17.80535112
    1   ->    11     0.00002027    32.49067693
    2   ->     9     0.00001944    24.32684991
    1   ->     8     0.00001419    27.44245203
    5   ->     7     0.00001044     4.93373232
    1   ->     7     0.00001031    15.68263888
    5   ->    11     0.00000959    21.74177037
    4   ->     7     0.00000734     6.04553796
    4   ->    10     0.00000648    21.47067818
    6   ->     7     0.00000562     2.14137577
    1   ->    10     0.00000428    31.10777910
    4   ->    11     0.00000341    22.85357602
    6   ->    10     0.00000139    17.56651598
    5   ->    10     0.00000109    20.35887253
    6   ->    12     0.00000101    22.63198580
    1   ->    12     0.00000092    36.17324891
    5   ->    12     0.00000045    25.42434235
    6   ->    11     0.00000006    18.94941382
    2   ->    11     0.00000000    26.73621904

  Energy       6     1.4092567629E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99996133    13.90118892
    5   ->     8     0.00824320    16.69354547
    4   ->     8     0.00206012    17.80535112
    6   ->     9     0.00157679    16.54004469
    4   ->     9     0.00110123    20.44420688
    2   ->    10     0.00063560    25.35332121
    5   ->    10     0.00051326    20.35887253
    4   ->    10     0.00049919    21.47067818
    6   ->    11     0.00048460    18.94941382
    4   ->    12     0.00026408    26.53614799
    4   ->    11     0.00023345    22.85357602
    1   ->    11     0.00021983    32.49067693
    6   ->    10     0.00020094    17.56651598
    2   ->     9     0.00013545    24.32684991
    5   ->     9     0.00012612    19.33240124
    6   ->    12     0.00009438    22.63198580
    1   ->    12     0.00009328    36.17324891
    3   ->    11     0.00008122    23.21242913
    5   ->     7     0.00007691     4.93373232
    3   ->     8     0.00006841    18.16420423
    4   ->     7     0.00006413     6.04553796
    3   ->    12     0.00006304    26.89500110
    2   ->    12     0.00006102    30.41879102
    3   ->     7     0.00005450     6.40439107
    2   ->     7     0.00004816     9.92818099
    1   ->     9     0.00002715    30.08130780
    3   ->     9     0.00001354    20.80305999
    1   ->    10     0.00001055    31.10777910
    2   ->     8     0.00000976    21.68799415
    6   ->     7     0.00000890     2.14137577
    2   ->    11     0.00000865    26.73621904
    5   ->    12     0.00000464    25.42434235
    1   ->     8     0.00000373    27.44245203
