# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.03501043
    2      -0.09895244
    3       0.25416434
    4       0.27670551
    5       0.30222150
    6       0.23085065
