# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.06476413
    2      -0.11747871
    3       0.29820895
    4       0.28809763
    5       0.29155124
    6       0.30438502
