
  Energy       1     3.5828806309E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99910810     3.27663808
    5   ->     7     0.04211900     5.96498869
    3   ->     7     0.00273248     8.03265222
    1   ->    12     0.00074190    42.53335706
    4   ->    12     0.00073470    32.42553807
    6   ->     8     0.00037244    14.30418290
    5   ->     8     0.00033081    16.99253351
    4   ->     7     0.00025849     7.18709686
    3   ->    10     0.00017852    23.12222555
    2   ->    12     0.00016685    36.12414022
    5   ->     9     0.00012406    19.07724655
    4   ->    10     0.00011794    22.27667019
    2   ->    11     0.00007580    27.28015729
    6   ->     9     0.00006176    16.38889594
    2   ->     9     0.00005402    23.99795687
    4   ->     8     0.00005105    18.21464168
    3   ->    11     0.00005029    24.42711050
    1   ->     9     0.00004324    30.40717371
    4   ->    11     0.00003596    23.58155514
    2   ->    10     0.00003435    25.97527234
    2   ->     7     0.00002942    10.88569901
    3   ->     9     0.00002489    21.14491007
    2   ->     8     0.00002209    21.91324383
    5   ->    11     0.00001598    22.35944697
    3   ->    12     0.00000829    33.27109343
    5   ->    12     0.00000818    31.20342990
    1   ->    10     0.00000688    32.38448918
    4   ->     9     0.00000427    20.29935472
    1   ->    11     0.00000225    33.68937413
    3   ->     8     0.00000155    19.06019704
    1   ->     7     0.00000113    17.29491585
    1   ->     8     0.00000038    28.32246067
    5   ->    10     0.00000035    21.05456202
    6   ->    10     0.00000029    18.36621141
    6   ->    12     0.00000005    28.51507929
    6   ->    11     0.00000000    19.67109636

  Energy       2     6.7768748453E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99613127     5.96498869
    3   ->     7     0.08659155     8.03265222
    6   ->     7     0.01102287     3.27663808
    6   ->     8     0.00785515    14.30418290
    4   ->     7     0.00431838     7.18709686
    1   ->    12     0.00309571    42.53335706
    4   ->    12     0.00304788    32.42553807
    4   ->     9     0.00152565    20.29935472
    2   ->    12     0.00081805    36.12414022
    3   ->    10     0.00051153    23.12222555
    4   ->    10     0.00048600    22.27667019
    6   ->     9     0.00024784    16.38889594
    4   ->    11     0.00020583    23.58155514
    2   ->    11     0.00015364    27.28015729
    3   ->    11     0.00015049    24.42711050
    2   ->    10     0.00009175    25.97527234
    5   ->     8     0.00007976    16.99253351
    2   ->     9     0.00007693    23.99795687
    1   ->    10     0.00005050    32.38448918
    1   ->     9     0.00004036    30.40717371
    5   ->     9     0.00003678    19.07724655
    3   ->    12     0.00003411    33.27109343
    3   ->     9     0.00002939    21.14491007
    6   ->    11     0.00002692    19.67109636
    2   ->     8     0.00002558    21.91324383
    1   ->    11     0.00002226    33.68937413
    5   ->    12     0.00002193    31.20342990
    4   ->     8     0.00001732    18.21464168
    5   ->    11     0.00000973    22.35944697
    1   ->     8     0.00000681    28.32246067
    2   ->     7     0.00000679    10.88569901
    6   ->    12     0.00000253    28.51507929
    3   ->     8     0.00000020    19.06019704
    1   ->     7     0.00000015    17.29491585
    6   ->    10     0.00000007    18.36621141
    5   ->    10     0.00000000    21.05456202

  Energy       3     7.2306692743E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.99999052     7.18709686
    3   ->     7     0.00405572     8.03265222
    5   ->     7     0.00150557     5.96498869
    6   ->     9     0.00032722    16.38889594
    5   ->     9     0.00022726    19.07724655
    4   ->     8     0.00022666    18.21464168
    6   ->     7     0.00010433     3.27663808
    3   ->    11     0.00007202    24.42711050
    3   ->    10     0.00004971    23.12222555
    2   ->     9     0.00004640    23.99795687
    2   ->    10     0.00004470    25.97527234
    5   ->     8     0.00004422    16.99253351
    4   ->    12     0.00003004    32.42553807
    1   ->    10     0.00002646    32.38448918
    2   ->     8     0.00002389    21.91324383
    1   ->     8     0.00002214    28.32246067
    1   ->    12     0.00001712    42.53335706
    1   ->     7     0.00001456    17.29491585
    2   ->    11     0.00000984    27.28015729
    6   ->    11     0.00000860    19.67109636
    2   ->    12     0.00000762    36.12414022
    4   ->     9     0.00000570    20.29935472
    4   ->    10     0.00000376    22.27667019
    3   ->     8     0.00000309    19.06019704
    4   ->    11     0.00000273    23.58155514
    6   ->     8     0.00000217    14.30418290
    3   ->    12     0.00000217    33.27109343
    5   ->    10     0.00000149    21.05456202
    6   ->    10     0.00000113    18.36621141
    2   ->     7     0.00000070    10.88569901
    3   ->     9     0.00000063    21.14491007
    5   ->    12     0.00000045    31.20342990
    1   ->    11     0.00000043    33.68937413
    1   ->     9     0.00000037    30.40717371
    5   ->    11     0.00000004    22.35944697
    6   ->    12     0.00000000    28.51507929

  Energy       4     8.3359090761E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99902412     8.03265222
    5   ->     7     0.04384720     5.96498869
    6   ->     8     0.00373437    14.30418290
    4   ->     7     0.00210546     7.18709686
    6   ->     7     0.00199634     3.27663808
    4   ->    12     0.00180326    32.42553807
    1   ->    12     0.00138792    42.53335706
    2   ->    12     0.00050017    36.12414022
    3   ->     8     0.00035598    19.06019704
    4   ->     9     0.00033869    20.29935472
    5   ->     8     0.00031790    16.99253351
    1   ->    10     0.00017199    32.38448918
    1   ->    11     0.00016674    33.68937413
    6   ->    10     0.00014045    18.36621141
    5   ->    10     0.00006022    21.05456202
    2   ->     9     0.00005253    23.99795687
    5   ->     9     0.00003232    19.07724655
    5   ->    11     0.00002356    22.35944697
    1   ->     9     0.00002277    30.40717371
    4   ->    10     0.00001912    22.27667019
    1   ->     7     0.00001420    17.29491585
    3   ->    11     0.00001392    24.42711050
    3   ->    10     0.00001378    23.12222555
    6   ->    11     0.00001168    19.67109636
    4   ->     8     0.00001067    18.21464168
    5   ->    12     0.00000972    31.20342990
    3   ->    12     0.00000947    33.27109343
    2   ->     7     0.00000725    10.88569901
    2   ->    11     0.00000492    27.28015729
    3   ->     9     0.00000490    21.14491007
    2   ->     8     0.00000152    21.91324383
    6   ->    12     0.00000148    28.51507929
    4   ->    11     0.00000139    23.58155514
    2   ->    10     0.00000105    25.97527234
    6   ->     9     0.00000104    16.38889594
    1   ->     8     0.00000027    28.32246067

  Energy       5     1.0922385778E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999993    10.88569901
    6   ->     9     0.00024563    16.38889594
    2   ->     8     0.00013619    21.91324383
    3   ->    11     0.00013122    24.42711050
    5   ->     9     0.00012920    19.07724655
    4   ->     9     0.00006935    20.29935472
    4   ->    10     0.00006858    22.27667019
    3   ->    10     0.00006332    23.12222555
    5   ->     8     0.00005470    16.99253351
    6   ->    11     0.00004993    19.67109636
    6   ->     8     0.00003539    14.30418290
    2   ->    10     0.00003386    25.97527234
    4   ->     8     0.00003248    18.21464168
    1   ->    10     0.00003029    32.38448918
    3   ->     9     0.00003022    21.14491007
    6   ->    10     0.00002129    18.36621141
    5   ->    10     0.00001100    21.05456202
    5   ->    11     0.00001086    22.35944697
    1   ->     7     0.00000992    17.29491585
    1   ->     9     0.00000771    30.40717371
    2   ->     9     0.00000668    23.99795687
    1   ->    11     0.00000508    33.68937413
    4   ->    11     0.00000460    23.58155514
    3   ->    12     0.00000438    33.27109343
    1   ->     8     0.00000371    28.32246067
    5   ->     7     0.00000266     5.96498869
    3   ->     7     0.00000219     8.03265222
    6   ->    12     0.00000202    28.51507929
    6   ->     7     0.00000177     3.27663808
    2   ->    11     0.00000138    27.28015729
    5   ->    12     0.00000102    31.20342990
    1   ->    12     0.00000058    42.53335706
    3   ->     8     0.00000015    19.06019704
    4   ->     7     0.00000011     7.18709686
    4   ->    12     0.00000006    32.42553807
    2   ->    12     0.00000002    36.12414022

  Energy       6     1.4890949729E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99985239    14.30418290
    4   ->     9     0.01258727    20.29935472
    5   ->     8     0.01103638    16.99253351
    2   ->     9     0.00193535    23.99795687
    4   ->    12     0.00159261    32.42553807
    1   ->    12     0.00149590    42.53335706
    5   ->     7     0.00144204     5.96498869
    4   ->    10     0.00139234    22.27667019
    6   ->    10     0.00112636    18.36621141
    2   ->    12     0.00056192    36.12414022
    4   ->     8     0.00053391    18.21464168
    3   ->     7     0.00049507     8.03265222
    6   ->    11     0.00032635    19.67109636
    5   ->    10     0.00025980    21.05456202
    3   ->     8     0.00023487    19.06019704
    3   ->     9     0.00020385    21.14491007
    2   ->     8     0.00009314    21.91324383
    6   ->     7     0.00008482     3.27663808
    1   ->    11     0.00006597    33.68937413
    3   ->    10     0.00006305    23.12222555
    2   ->    11     0.00005040    27.28015729
    4   ->    11     0.00003476    23.58155514
    5   ->    11     0.00003353    22.35944697
    5   ->    12     0.00002010    31.20342990
    1   ->    10     0.00001618    32.38448918
    3   ->    12     0.00001549    33.27109343
    2   ->    10     0.00001526    25.97527234
    2   ->     7     0.00001410    10.88569901
    1   ->     9     0.00001327    30.40717371
    6   ->     9     0.00001184    16.38889594
    5   ->     9     0.00000857    19.07724655
    3   ->    11     0.00000167    24.42711050
    1   ->     7     0.00000159    17.29491585
