# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.09051473
    2      -0.14902789
    3       0.32758730
    4       0.28710304
    5       0.29590428
    6       0.32894800
