# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.16448379
    2      -0.17556230
    3       0.21833029
    4       0.28146686
    5       0.29813656
    6       0.21314480
