# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.05638347
    2      -0.11176664
    3       0.28294704
    4       0.28496960
    5       0.29673039
    6       0.30350309
