# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.04150200
    2      -0.10362197
    3       0.26769826
    4       0.29074623
    5       0.29426514
    6       0.29241435
