# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.08311883
    2      -0.12320197
    3       0.24033343
    4       0.27617515
    5       0.30110339
    6       0.22247116
