# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.05221876
    2      -0.11360796
    3       0.30286984
    4       0.29649947
    5       0.28614487
    6       0.28031255
