# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1       0.18828985
    2      -0.17556580
    3       0.21059900
    4       0.29035575
    5       0.28007455
    6       0.20624664
