# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.01934251
    2      -0.09813761
    3       0.27831628
    4       0.29236457
    5       0.29158376
    6       0.25521551
